Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2008-01-14,2.3303,2.3303,2.3303,2.3303
2008-01-15,2.2667,2.2667,2.2667,2.2667
2008-01-16,2.2383,2.2383,2.2383,2.2383
2008-01-17,2.2268,2.2268,2.2268,2.2268
2008-01-18,2.2759,2.2759,2.2759,2.2759
2008-01-22,2.2506,2.2506,2.2506,2.2506
2008-01-23,2.2233,2.2233,2.2233,2.2233
2008-01-24,2.2503,2.2503,2.2503,2.2503
2008-01-25,2.2782,2.2782,2.2782,2.2782
2008-01-28,2.284,2.284,2.284,2.284
2008-01-29,2.2895,2.2895,2.2895,2.2895
2008-01-30,2.2965,2.2965,2.2965,2.2965
2008-01-31,2.2784,2.2784,2.2784,2.2784
2008-02-01,2.2084,2.2084,2.2084,2.2084
2008-02-04,2.2329,2.2329,2.2329,2.2329
2008-02-05,2.1797,2.1797,2.1797,2.1797
2008-02-06,2.1586,2.1586,2.1586,2.1586
2008-02-07,2.1817,2.1817,2.1817,2.1817
2008-02-08,2.2759,2.2759,2.2759,2.2759
2008-02-11,2.3149,2.3149,2.3149,2.3149
2008-02-12,2.2805,2.2805,2.2805,2.2805
2008-02-13,2.3049,2.3049,2.3049,2.3049
2008-02-14,2.4111,2.4111,2.4111,2.4111
2008-02-15,2.4288,2.4288,2.4288,2.4288
2008-02-19,2.5681,2.5681,2.5681,2.5681
2008-02-20,2.5302,2.5302,2.5302,2.5302
2008-02-21,2.462,2.462,2.462,2.462
2008-02-22,2.4737,2.4737,2.4737,2.4737
2008-02-25,2.5019,2.5019,2.5019,2.5019
2008-02-26,2.508,2.508,2.508,2.508
2008-02-27,2.4302,2.4302,2.4302,2.4302
2008-02-28,2.4482,2.4482,2.4482,2.4482
2008-02-29,2.4482,2.4482,2.4482,2.4482
2008-03-03,2.497,2.497,2.497,2.497
2008-03-04,2.3541,2.3541,2.3541,2.3541
2008-03-05,2.4733,2.4733,2.4733,2.4733
2008-03-06,2.4932,2.4932,2.4932,2.4932
2008-03-07,2.5518,2.5518,2.5518,2.5518
2008-03-10,2.5699,2.5699,2.5699,2.5699
2008-03-11,2.5961,2.5961,2.5961,2.5961
2008-03-12,2.5986,2.5986,2.5986,2.5986
2008-03-13,2.5078,2.5078,2.5078,2.5078
2008-03-14,2.5019,2.5019,2.5019,2.5019
2008-03-17,2.2992,2.2992,2.2992,2.2992
2008-03-18,2.46,2.46,2.46,2.46
2008-03-19,2.3578,2.3578,2.3578,2.3578
2008-03-20,2.4276,2.4276,2.4276,2.4276
2008-03-24,2.4737,2.4737,2.4737,2.4737
2008-03-25,2.5327,2.5327,2.5327,2.5327
2008-03-26,2.5704,2.5704,2.5704,2.5704
2008-03-27,2.5238,2.5238,2.5238,2.5238
2008-03-28,2.477,2.477,2.477,2.477
2008-03-31,2.3863,2.3863,2.3863,2.3863
2008-04-01,2.4392,2.4392,2.4392,2.4392
2008-04-02,2.7736,2.7736,2.7736,2.7736
2008-04-03,2.7243,2.7243,2.7243,2.7243
2008-04-04,2.7504,2.7504,2.7504,2.7504
2008-04-07,2.7722,2.7722,2.7722,2.7722
2008-04-08,2.7354,2.7354,2.7354,2.7354
2008-04-09,2.7667,2.7667,2.7667,2.7667
2008-04-10,2.7796,2.7796,2.7796,2.7796
2008-04-11,2.8023,2.8023,2.8023,2.8023
2008-04-14,2.8158,2.8158,2.8158,2.8158
2008-04-15,2.8772,2.8772,2.8772,2.8772
2008-04-16,2.9327,2.9327,2.9327,2.9327
2008-04-17,2.954,2.954,2.954,2.954
2008-04-18,2.9855,2.9855,2.9855,2.9855
2008-04-21,2.9753,2.9753,2.9753,2.9753
2008-04-22,3.0126,3.0126,3.0126,3.0126
2008-04-23,3.0469,3.0469,3.0469,3.0469
2008-04-24,3.0148,3.0148,3.0148,3.0148
2008-04-25,3.0499,3.0499,3.0499,3.0499
2008-04-28,3.0294,3.0294,3.0294,3.0294
2008-04-29,2.9364,2.9364,2.9364,2.9364
2008-04-30,2.9113,2.9113,2.9113,2.9113
2008-05-01,2.8894,2.8894,2.8894,2.8894
2008-05-02,3.0039,3.0039,3.0039,3.0039
2008-05-05,3.0905,3.0905,3.0905,3.0905
2008-05-06,3.1325,3.1325,3.1325,3.1325
2008-05-07,3.133,3.133,3.133,3.133
2008-05-08,3.165,3.165,3.165,3.165
2008-05-09,3.225,3.225,3.225,3.225
2008-05-12,3.1929,3.1929,3.1929,3.1929
2008-05-13,3.2312,3.2312,3.2312,3.2312
2008-05-14,3.2129,3.2129,3.2129,3.2129
2008-05-15,3.1983,3.1983,3.1983,3.1983
2008-05-16,3.246,3.246,3.246,3.246
2008-05-19,3.2591,3.2591,3.2591,3.2591
2008-05-20,3.3217,3.3217,3.3217,3.3217
2008-05-21,3.4102,3.4102,3.4102,3.4102
2008-05-22,3.3497,3.3497,3.3497,3.3497
2008-05-23,3.4435,3.4435,3.4435,3.4435
2008-05-27,3.4305,3.4305,3.4305,3.4305
2008-05-28,3.408,3.408,3.408,3.408
2008-05-29,3.4142,3.4142,3.4142,3.4142
2008-05-30,3.3582,3.3582,3.3582,3.3582
2008-06-02,3.4707,3.4707,3.4707,3.4707
2008-06-03,3.4175,3.4175,3.4175,3.4175
2008-06-04,3.2526,3.2526,3.2526,3.2526
2008-06-05,3.3795,3.3795,3.3795,3.3795
2008-06-06,3.593,3.593,3.593,3.593
2008-06-09,3.4152,3.4152,3.4152,3.4152
2008-06-10,3.3418,3.3418,3.3418,3.3418
2008-06-11,3.4933,3.4933,3.4933,3.4933
2008-06-12,3.546,3.546,3.546,3.546
2008-06-13,3.4826,3.4826,3.4826,3.4826
2008-06-16,3.4441,3.4441,3.4441,3.4441
2008-06-17,3.4154,3.4154,3.4154,3.4154
2008-06-18,3.4604,3.4604,3.4604,3.4604
2008-06-19,3.3426,3.3426,3.3426,3.3426
2008-06-20,3.4317,3.4317,3.4317,3.4317
2008-06-23,3.4476,3.4476,3.4476,3.4476
2008-06-24,3.4555,3.4555,3.4555,3.4555
2008-06-25,3.3866,3.3866,3.3866,3.3866
2008-06-26,3.5025,3.5025,3.5025,3.5025
2008-06-27,3.4924,3.4924,3.4924,3.4924
2008-06-30,3.4916,3.4916,3.4916,3.4916
2008-07-01,3.5059,3.5059,3.5059,3.5059
2008-07-02,3.5156,3.5156,3.5156,3.5156
2008-07-03,3.5372,3.5372,3.5372,3.5372
2008-07-07,3.445,3.445,3.445,3.445
2008-07-08,3.325,3.325,3.325,3.325
2008-07-09,3.3475,3.3475,3.3475,3.3475
2008-07-10,3.4675,3.4675,3.4675,3.4675
2008-07-11,3.52,3.52,3.52,3.52
2008-07-14,3.5064,3.5064,3.5064,3.5064
2008-07-15,3.3335,3.3335,3.3335,3.3335
2008-07-16,3.2481,3.2481,3.2481,3.2481
2008-07-17,3.1283,3.1283,3.1283,3.1283
2008-07-18,3.1384,3.1384,3.1384,3.1384
2008-07-21,3.1946,3.1946,3.1946,3.1946
2008-07-22,3.1245,3.1245,3.1245,3.1245
2008-07-23,3.0201,3.0201,3.0201,3.0201
2008-07-24,3.0469,3.0469,3.0469,3.0469
2008-07-25,3.021,3.021,3.021,3.021
2008-07-28,3.021,3.021,3.021,3.021
2008-07-29,3.0002,3.0002,3.0002,3.0002
2008-07-30,3.1301,3.1301,3.1301,3.1301
2008-07-31,3.0634,3.0634,3.0634,3.0634
2008-08-01,3.0768,3.0768,3.0768,3.0768
2008-08-04,2.9952,2.9952,2.9952,2.9952
2008-08-05,2.9501,2.9501,2.9501,2.9501
2008-08-06,2.9427,2.9427,2.9427,2.9427
2008-08-07,3.005,3.005,3.005,3.005
2008-08-08,2.89,2.89,2.89,2.89
2008-08-11,2.87,2.87,2.87,2.87
2008-08-12,2.855,2.855,2.855,2.855
2008-08-13,2.94,2.94,2.94,2.94
2008-08-14,2.93,2.93,2.93,2.93
2008-08-15,2.8827,2.8827,2.8827,2.8827
2008-08-18,2.8327,2.8327,2.8327,2.8327
2008-08-19,2.8814,2.8814,2.8814,2.8814
2008-08-20,2.9228,2.9228,2.9228,2.9228
2008-08-21,3.0589,3.0589,3.0589,3.0589
2008-08-22,3.0589,3.0589,3.0589,3.0589
2008-08-25,2.8803,2.8803,2.8803,2.8803
2008-08-26,2.9797,2.9797,2.9797,2.9797
2008-08-27,3.0722,3.0722,3.0722,3.0722
2008-08-28,3.0114,3.0114,3.0114,3.0114
2008-08-29,3.0099,3.0099,3.0099,3.0099
2008-09-02,2.9687,2.9687,2.9687,2.9687
2008-09-03,2.9818,2.9818,2.9818,2.9818
2008-09-04,2.9579,2.9579,2.9579,2.9579
2008-09-05,2.8173,2.8173,2.8173,2.8173
2008-09-08,2.9253,2.9253,2.9253,2.9253
2008-09-09,2.7701,2.7701,2.7701,2.7701
2008-09-10,2.7866,2.7866,2.7866,2.7866
2008-09-11,3.2338,3.2338,3.2338,3.2338
2008-09-12,3.2746,3.2746,3.2746,3.2746
2008-09-15,2.9614,2.9614,2.9614,2.9614
2008-09-16,2.8733,2.8733,2.8733,2.8733
2008-09-17,2.6905,2.6905,2.6905,2.6905
2008-09-18,2.5624,2.5624,2.5624,2.5624
2008-09-19,2.6797,2.6797,2.6797,2.6797
2008-09-22,2.7313,2.7313,2.7313,2.7313
2008-09-23,2.6125,2.6125,2.6125,2.6125
2008-09-24,2.6122,2.6122,2.6122,2.6122
2008-09-25,2.7173,2.7173,2.7173,2.7173
2008-09-26,2.6751,2.6751,2.6751,2.6751
2008-09-29,2.392,2.392,2.392,2.392
2008-09-30,2.5016,2.5016,2.5016,2.5016
2008-10-01,2.4075,2.4075,2.4075,2.4075
2008-10-02,2.3237,2.3237,2.3237,2.3237
2008-10-03,2.2633,2.2633,2.2633,2.2633
2008-10-06,2.0791,2.0791,2.0791,2.0791
2008-10-07,2.085,2.085,2.085,2.085
2008-10-08,2.0523,2.0523,2.0523,2.0523
2008-10-09,2.0948,2.0948,2.0948,2.0948
2008-10-10,1.8745,1.8745,1.8745,1.8745
2008-10-13,1.9976,1.9976,1.9976,1.9976
2008-10-14,1.9948,1.9948,1.9948,1.9948
2008-10-15,1.89,1.89,1.89,1.89
2008-10-16,1.73,1.73,1.73,1.73
2008-10-17,1.77,1.77,1.77,1.77
2008-10-20,1.8851,1.8851,1.8851,1.8851
2008-10-21,1.8369,1.8369,1.8369,1.8369
2008-10-22,1.7109,1.7109,1.7109,1.7109
2008-10-23,1.7178,1.7178,1.7178,1.7178
2008-10-24,1.5929,1.5929,1.5929,1.5929
2008-10-27,1.5569,1.5569,1.5569,1.5569
2008-10-28,1.535,1.535,1.535,1.535
2008-10-29,1.5705,1.5705,1.5705,1.5705
2008-10-30,1.5045,1.5045,1.5045,1.5045
2008-10-31,1.4785,1.4785,1.4785,1.4785
2008-11-03,1.4412,1.4412,1.4412,1.4412
2008-11-04,1.6114,1.6114,1.6114,1.6114
2008-11-05,1.5852,1.5852,1.5852,1.5852
2008-11-06,1.4035,1.4035,1.4035,1.4035
2008-11-07,1.407,1.407,1.407,1.407
2008-11-10,1.4029,1.4029,1.4029,1.4029
2008-11-11,1.3234,1.3234,1.3234,1.3234
2008-11-12,1.2681,1.2681,1.2681,1.2681
2008-11-13,1.3224,1.3224,1.3224,1.3224
2008-11-14,1.2603,1.2603,1.2603,1.2603
2008-11-17,1.1983,1.1983,1.1983,1.1983
2008-11-18,1.1568,1.1568,1.1568,1.1568
2008-11-19,1.1207,1.1207,1.1207,1.1207
2008-11-20,1.027,1.027,1.027,1.027
2008-11-21,1.0805,1.0805,1.0805,1.0805
2008-11-24,1.1487,1.1487,1.1487,1.1487
2008-11-25,1.1016,1.1016,1.1016,1.1016
2008-11-26,1.1798,1.1798,1.1798,1.1798
2008-11-28,1.1798,1.1798,1.1798,1.1798
2008-12-01,1.0887,1.0887,1.0887,1.0887
2008-12-02,1.0345,1.0345,1.0345,1.0345
2008-12-03,1.0127,1.0127,1.0127,1.0127
2008-12-04,0.927,0.927,0.927,0.927
2008-12-05,0.8512,0.8512,0.8512,0.8512
2008-12-08,0.9105,0.9105,0.9105,0.9105
2008-12-09,0.8814,0.8814,0.8814,0.8814
2008-12-10,0.9174,0.9174,0.9174,0.9174
2008-12-11,1.0273,1.0273,1.0273,1.0273
2008-12-12,1.0264,1.0264,1.0264,1.0264
2008-12-15,0.9894,0.9894,0.9894,0.9894
2008-12-16,0.9925,0.9925,0.9925,0.9925
2008-12-17,0.963,0.963,0.963,0.963
2008-12-18,0.9179,0.9179,0.9179,0.9179
2008-12-19,0.9218,0.9218,0.9218,0.9218
2008-12-22,0.9218,0.9218,0.9218,0.9218
2008-12-23,0.8225,0.8225,0.8225,0.8225
2008-12-24,0.7552,0.7552,0.7552,0.7552
2008-12-26,0.7552,0.7552,0.7552,0.7552
2008-12-29,0.8407,0.8407,0.8407,0.8407
2008-12-30,0.8515,0.8515,0.8515,0.8515
2008-12-31,0.9744,0.9744,0.9744,0.9744
